,Unnamed: 0,atom_counts,puckering
0,0,"{'Ba': 2, 'Sb': 1}",Puckered
1,1,"{'Tc': 1, 'Te': 2}",Puckered
2,2,"{'Au': 1, 'Br': 1}",Puckered
3,3,"{'Ti': 3, 'Se': 2}",Puckered
4,4,"{'Au': 2, 'Se': 2}",Puckered
5,5,"{'Al': 2, 'S': 5}",Puckered
6,6,"{'Li': 6, 'O': 3}",Puckered
7,7,"{'Al': 2, 'Sb': 6}",Puckered
8,8,"{'Mo': 3, 'S': 4}",Puckered
9,9,"{'Sb': 8, 'C': 4}",Puckered
10,10,"{'B': 2, 'O': 3}",Planar
11,11,"{'Ga': 2, 'Sb': 6}",Puckered
12,12,"{'Al': 1, 'I': 1}",Puckered
13,13,"{'Nd': 4, 'Se': 10}",Puckered
14,14,"{'Al': 2, 'F': 2}",Puckered
15,15,"{'Y': 1, 'Si': 3}",Planar
16,16,"{'Ba': 2, 'As': 1}",Puckered
17,17,"{'Ga': 1, 'As': 1}",Planar
18,18,"{'Ti': 1, 'I': 2}",Puckered
19,19,"{'Hf': 2, 'Pb': 4}",Puckered
20,20,"{'B': 4, 'Br': 4}",Puckered
21,21,"{'Ti': 2, 'Pb': 4}",Puckered
22,22,"{'Al': 2, 'O': 3}",Puckered
23,23,"{'Tl': 2, 'S': 2}",Puckered
24,24,"{'Ni': 1, 'Sb': 2}",Puckered
25,25,"{'Ge': 1, 'Se': 1}",Puckered
26,26,"{'Ag': 1, 'Cl': 1}",Planar
27,27,"{'Ag': 1, 'F': 1}",Planar
28,28,"{'Ge': 1, 'Br': 2}",Puckered
29,29,"{'Nd': 2, 'Se': 6}",Puckered
30,30,"{'Si': 1, 'Br': 2}",Puckered
31,31,"{'In': 1, 'Br': 1}",Puckered
32,32,"{'Ni': 1, 'P': 2}",Puckered
33,33,"{'B': 2, 'N': 6}",Puckered
34,34,"{'B': 1, 'I': 1}",Puckered
35,35,"{'Rh': 2, 'Pb': 8}",Puckered
36,36,"{'Ca': 2, 'P': 1}",Puckered
37,37,"{'Tl': 2, 'Ru': 1}",Puckered
38,38,"{'Ti': 2, 'Zn': 2}",Puckered
39,39,"{'P': 4, 'O': 8}",Puckered
40,40,"{'Zr': 2, 'Br': 6}",Puckered
41,41,"{'Te': 2, 'C': 2}",Puckered
42,42,"{'Sc': 2, 'Pb': 1}",Puckered
43,43,"{'Cu': 4, 'S': 2}",Puckered
44,44,"{'Sm': 2, 'Se': 6}",Puckered
45,45,"{'U': 2, 'S': 6}",Puckered
46,46,"{'Ge': 2, 'Ru': 1}",Puckered
47,47,"{'Tc': 6, 'I': 18}",Puckered
48,48,"{'Be': 10, 'Co': 2}",Puckered
49,49,"{'In': 1, 'I': 1}",Puckered
50,50,"{'Si': 2, 'Se': 2}",Puckered
51,51,"{'In': 2, 'O': 1}",Puckered
52,52,"{'Sr': 10, 'Co': 2}",Puckered
53,53,"{'Y': 1, 'Pb': 3}",Planar
54,54,"{'Sn': 6, 'H': 2}",Puckered
55,55,"{'Ge': 2, 'H': 2}",Puckered
56,56,"{'Tb': 2, 'Br': 6}",Puckered
57,57,"{'Si': 1, 'Cl': 2}",Puckered
58,58,"{'C': 4, 'N': 8}",Puckered
59,59,"{'Mo': 2, 'F': 6}",Puckered
60,60,"{'Ge': 4, 'O': 4}",Puckered
61,61,"{'Mo': 2, 'Se': 4}",Puckered
62,62,"{'Ga': 8, 'Te': 6}",Puckered
63,63,"{'Mg': 1, 'Pb': 2}",Puckered
64,64,"{'U': 2, 'Br': 6}",Puckered
65,65,"{'Si': 1, 'Te': 1}",Puckered
66,66,"{'Pb': 2, 'Se': 2}",Puckered
67,67,"{'Tc': 6, 'Br': 18}",Puckered
68,68,"{'Zr': 2, 'I': 6}",Puckered
69,69,"{'Np': 2, 'F': 6}",Puckered
70,70,"{'C': 1, 'Br': 2}",Puckered
71,71,"{'Sn': 1, 'Se': 1}",Puckered
72,72,"{'Ca': 2, 'Au': 2}",Puckered
73,73,"{'P': 2, 'S': 3}",Puckered
74,74,"{'Be': 1, 'Pb': 2}",Puckered
75,75,"{'Mn': 4, 'Se': 8}",Puckered
76,76,"{'In': 1, 'Cl': 1}",Puckered
77,77,"{'B': 8, 'Te': 6}",Puckered
78,78,"{'Sb': 16, 'Br': 4}",Puckered
79,79,"{'Sr': 2, 'Ir': 1}",Puckered
80,80,"{'Ti': 2, 'Hg': 2}",Puckered
81,81,"{'Hf': 2, 'Br': 6}",Puckered
82,82,"{'Tl': 8, 'Te': 6}",Puckered
83,83,"{'B': 4, 'As': 20}",Puckered
84,84,"{'Th': 1, 'Cl': 2}",Puckered
85,85,"{'Cu': 4, 'Te': 2}",Puckered
86,86,"{'Ni': 3, 'P': 6}",Puckered
87,87,"{'Pr': 2, 'Se': 6}",Puckered
88,88,"{'W': 2, 'Se': 4}",Puckered
89,89,"{'As': 6, 'C': 2}",Puckered
90,90,"{'Se': 4, 'Cl': 4}",Puckered
91,91,"{'Pd': 2, 'S': 2}",Puckered
92,92,"{'C': 2, 'I': 6}",Puckered
93,93,"{'Ag': 1, 'Se': 2}",Puckered
94,94,"{'Sc': 2, 'Si': 1}",Puckered
95,95,"{'B': 18, 'Te': 9}",Puckered
96,96,"{'Pd': 1, 'Se': 1}",Puckered
97,97,"{'Pu': 2, 'Cl': 6}",Puckered
98,98,"{'B': 2, 'Ru': 1}",Puckered
99,99,"{'Ti': 3, 'S': 2}",Puckered
100,100,"{'Tb': 2, 'I': 2}",Puckered
101,101,"{'Au': 1, 'I': 1}",Planar
102,102,"{'Tl': 2, 'Os': 1}",Puckered
103,103,"{'Cu': 2, 'F': 2}",Puckered
104,104,"{'Mg': 1, 'Ge': 2}",Puckered
105,105,"{'Ba': 10, 'Co': 2}",Puckered
106,106,"{'Tb': 2, 'Ge': 1}",Puckered
107,107,"{'Hf': 2, 'Sn': 4}",Puckered
108,108,"{'Ce': 2, 'S': 6}",Puckered
109,109,"{'Cu': 2, 'Cl': 2}",Puckered
110,110,"{'Ag': 2, 'F': 2}",Puckered
111,111,"{'U': 2, 'Se': 6}",Puckered
112,112,"{'Sn': 4, 'As': 8}",Puckered
113,113,"{'Si': 2, 'S': 2}",Puckered
114,114,"{'Sn': 1, 'S': 1}",Puckered
115,115,"{'Ag': 2, 'Se': 2}",Puckered
116,116,"{'H': 2, 'Pb': 2}",Puckered
117,117,"{'Tb': 2, 'Si': 1}",Puckered
118,118,"{'Al': 2, 'S': 2}",Puckered
119,119,"{'Ga': 1, 'Cl': 1}",Puckered
120,120,"{'As': 8, 'Pb': 4}",Puckered
121,121,"{'B': 2, 'Se': 2}",Puckered
122,122,"{'Ni': 1, 'Se': 1}",Puckered
123,123,"{'La': 2, 'Si': 1}",Puckered
124,124,"{'Sn': 1, 'Br': 2}",Puckered
125,125,"{'Ag': 2, 'F': 2}",Puckered
126,126,"{'Hf': 2, 'Ag': 2}",Puckered
127,127,"{'Ge': 4, 'N': 8}",Puckered
128,128,"{'Re': 4, 'Te': 8}",Puckered
129,129,"{'Nd': 2, 'F': 6}",Puckered
130,130,"{'In': 2, 'Ru': 1}",Puckered
131,131,"{'Ga': 4, 'O': 6}",Puckered
132,132,"{'In': 4, 'Br': 4}",Puckered
133,133,"{'B': 4, 'Br': 4}",Puckered
134,134,"{'Sn': 6, 'As': 6}",Puckered
135,135,"{'Si': 4, 'Sb': 8}",Puckered
136,136,"{'Sb': 4, 'O': 8}",Puckered
137,137,"{'In': 2, 'S': 2}",Puckered
138,138,"{'Se': 4, 'Br': 4}",Puckered
139,139,"{'Y': 2, 'Br': 6}",Puckered
140,140,"{'Al': 18, 'Te': 9}",Puckered
141,141,"{'Eu': 1, 'P': 2}",Puckered
142,142,"{'Au': 2, 'F': 2}",Puckered
143,143,"{'W': 2, 'I': 6}",Puckered
144,144,"{'Pr': 2, 'S': 6}",Puckered
145,145,"{'S': 3, 'N': 2}",Puckered
146,146,"{'Si': 2, 'S': 2}",Puckered
147,147,"{'B': 2, 'Te': 2}",Puckered
148,148,"{'Sn': 2, 'N': 6}",Puckered
