,system,atom_types,max_puckering,mean_puckering
0,18.18.18-Gy,{'C': 16},0.0,0.0
1,T_graphene,{'C': 4},-0.0,0.0
2,tri_graphene,{'C': 6},-0.0,0.0
3,GY2,{'C': 8},0.0,0.0
4,alpha-Gy,{'C': 8},0.0,0.0
5,GaGD-HEX,"{'C': 12, 'Ga': 2}",0.0,0.0
6,AlGD-HEX,"{'C': 12, 'Al': 2}",0.0,0.0
7,13,{'C': 32},-0.0,0.0
8,BGD-HEX,"{'C': 12, 'B': 2}",0.0,0.0
9,GaGY-HEX,"{'C': 6, 'Ga': 2}",0.0,0.0
10,c31,{'C': 12},-0.0,0.0
11,AlGY-HEX,"{'C': 6, 'Al': 2}",0.0,0.0
12,BGY-HEX,"{'C': 6, 'B': 2}",0.0,0.0
13,graphene,{'C': 2},0.0032,0.0016
14,s-graphene,{'C': 8},0.0032,0.0016
15,AlGY-REC,"{'C': 12, 'Al': 2}",0.0032,0.0013
16,c18n8,"{'C': 18, 'N': 8}",0.0032,0.0015
17,C8N2-2,"{'C': 8, 'N': 2}",0.0032,0.0014
18,PHH-graphene,{'C': 20},0.0032,0.0015
19,BC6N-Hex,"{'C': 6, 'B': 1, 'N': 1}",0.0032,0.0016
20,beta12_borophene,{'B': 5},0.0032,0.0015
21,Fused_pentagon,{'C': 14},0.0032,0.0012
22,gamma-Gy,{'C': 12},0.0032,0.0015
23,Ag-GDY,"{'C': 24, 'H': 6, 'Ag': 3}",0.0032,0.0016
24,AsGY-HEX,"{'C': 12, 'As': 6}",0.0032,0.0016
25,net_C,{'C': 6},0.0032,0.0013
26,C7N6,"{'C': 7, 'N': 6}",0.0032,0.0013
27,AlBi,"{'Al': 1, 'Bi': 1}",0.0032,0.0016
28,GaSb,"{'Ga': 1, 'Sb': 1}",0.0032,0.0016
29,15,{'C': 33},0.0032,0.0015
30,6,{'C': 36},0.0032,0.0016
31,8,{'C': 32},0.0032,0.0014
32,H4,{'C': 20},0.0032,0.0015
33,AlP,"{'Al': 1, 'P': 1}",0.0032,0.0016
34,BCN-1,"{'C': 4, 'N': 4, 'B': 4}",0.0032,0.0016
35,hexagonal-heackelite,{'C': 16},0.0032,0.0015
36,InSb,"{'In': 1, 'Sb': 1}",0.0032,0.0016
37,GaAs,"{'Ga': 1, 'As': 1}",0.0032,0.0016
38,C3N,"{'C': 6, 'N': 2}",0.0032,0.0016
39,BC6N6,"{'C': 6, 'N': 6, 'B': 1}",0.0032,0.0013
40,PAI-graphene,{'C': 24},0.0032,0.0016
41,GDY-2,"{'C': 24, 'H': 6}",0.0032,0.0016
42,GY3,{'C': 20},0.0032,0.0015
43,BC3,"{'C': 6, 'B': 2}",0.0032,0.0016
44,AuN-GDY,"{'C': 18, 'N': 6, 'Au': 3}",0.0032,0.0032
45,chi3_borophene,{'B': 8},0.0032,0.0015
46,14.14.18-GY,{'C': 14},0.0032,0.0016
47,BSb,"{'B': 1, 'Sb': 1}",0.0032,0.0016
48,BN,"{'B': 1, 'N': 1}",0.0032,0.0016
49,BCN-2,"{'C': 16, 'N': 16, 'B': 16}",0.0032,0.0016
50,PGD-HEX,"{'C': 18, 'P': 6}",0.0032,0.0016
51,PGD-REC,"{'C': 24, 'P': 4}",0.0032,0.0017
52,C9N4,"{'C': 9, 'N': 4}",0.0032,0.0013
53,AsGY-REC,"{'C': 16, 'As': 4}",0.0032,0.0017
54,6.6.6-GY,{'C': 24},0.0032,0.0016
55,borophene-1,{'B': 20},0.0032,0.0015
56,AlSb,"{'Al': 1, 'Sb': 1}",0.0032,0.0016
57,c14n12,"{'C': 14, 'N': 12}",0.0032,0.0018
58,NGY-HEX,"{'C': 12, 'N': 6}",0.0032,0.0032
59,PHE-graphene,{'C': 10},0.0032,0.0011
60,GDY,{'C': 18},0.0032,0.0015
61,delta-gy,{'C': 20},0.0032,0.0015
62,C12N2,"{'C': 12, 'N': 2}",0.0032,0.0018
63,DHQ_graphene,{'C': 20},0.0032,0.0013
64,borophene-2,{'B': 8},0.0032,0.0015
65,NGD-HEX,"{'C': 18, 'N': 6}",0.0032,0.0032
66,AsGD-HEX,"{'C': 18, 'As': 6}",0.0032,0.0016
67,ZW-21,{'C': 20},0.0032,0.0015
68,pentahexoctite,{'C': 8},0.0032,0.0014
69,DBP,"{'C': 20, 'N': 4, 'B': 2}",0.0032,0.0016
70,AlN,"{'Al': 1, 'N': 1}",0.0032,0.0016
71,12,{'C': 29},0.0032,0.0012
72,H3,{'C': 12},0.0032,0.0014
73,net_W,{'C': 8},0.0032,0.0016
74,C2N,"{'C': 12, 'N': 6}",0.0032,0.0016
75,CEY,{'C': 12},0.0032,0.0015
76,AlGD-REC,"{'C': 22, 'Al': 2}",0.0032,0.0013
77,H5,{'C': 20},0.0032,0.0014
78,Pha,{'C': 20},0.0032,0.0015
79,PGY-REC,"{'C': 16, 'P': 4}",0.0032,0.0017
80,1,{'C': 30},0.0032,0.0013
81,AsGD-REC,"{'C': 24, 'As': 4}",0.0032,0.0017
82,B2N2,"{'B': 2, 'N': 2}",0.0032,0.0016
83,AlAs,"{'Al': 1, 'As': 1}",0.0032,0.0016
84,c65,{'C': 10},0.0032,0.0011
85,C8N2,"{'C': 8, 'N': 2}",0.0032,0.0014
86,5,{'C': 30},0.0032,0.0017
87,InP,"{'In': 1, 'P': 1}",0.0032,0.0016
88,GaP,"{'Ga': 1, 'P': 1}",0.0032,0.0016
89,BAs,"{'B': 1, 'As': 1}",0.0032,0.0016
90,biphenylene,{'C': 6},0.0032,0.0013
91,H1,{'C': 16},0.0032,0.0014
92,PGY-HEX,"{'C': 12, 'P': 6}",0.0032,0.0016
93,c41,{'C': 12},0.0032,0.0007
94,BP,"{'B': 1, 'P': 1}",0.0032,0.0016
95,AgN-GDY,"{'C': 18, 'N': 6, 'Ag': 3}",0.0032,0.0032
96,THD-graphene,{'C': 12},0.0032,0.0011
97,GaN,"{'N': 1, 'Ga': 1}",0.0032,0.0016
98,c63,{'C': 12},0.0032,0.001
99,BGD-REC,"{'C': 22, 'B': 2}",0.0032,0.0013
100,oblique-heackelite,{'C': 12},0.0032,0.0016
101,7,{'C': 16},0.0032,0.0014
102,C36N6,"{'C': 36, 'N': 6}",0.0032,0.0015
103,rec-heackelite,{'C': 8},0.0032,0.0014
104,lambda-GY,{'C': 18},0.0032,0.0016
105,squarographene,{'C': 5},0.0032,0.0015
106,C3N2,"{'C': 12, 'N': 8}",0.0032,0.0015
107,InBi,"{'In': 1, 'Bi': 1}",0.0032,0.0016
108,NGD-REC,"{'C': 24, 'N': 4}",0.0032,0.0017
109,BC6N-Hex2,"{'C': 6, 'B': 1, 'N': 1}",0.0032,0.0016
110,6.6.12-Gy,{'C': 18},0.0032,0.0015
111,OPG-L,{'C': 12},0.0032,0.0013
112,InAs,"{'In': 1, 'As': 1}",0.0032,0.0016
113,14,{'C': 21},0.0032,0.001
114,BBi,"{'B': 1, 'Bi': 1}",0.0032,0.0016
115,DHP-graphene,{'C': 24},0.0032,0.001
116,9,{'C': 36},0.0032,0.0014
117,HOP-graphene,{'C': 10},0.0032,0.0014
118,TPH-graphene,{'C': 20},0.0032,0.0015
119,H2,{'C': 10},0.0032,0.0015
120,NGY-REC,"{'C': 16, 'N': 4}",0.0032,0.0017
121,c14n18,"{'C': 14, 'N': 18}",0.0032,0.0019
122,c10N3,"{'C': 10, 'N': 3}",0.0032,0.0015
123,Ge2Bi2,"{'Ge': 1, 'Bi': 1}",0.0032,0.0015
124,InN,"{'In': 1, 'N': 1}",0.0032,0.0016
125,beta-GY,{'C': 18},0.0032,0.0016
126,TPHHO-graphene,{'C': 10},0.0032,0.0016
