id,atom_counts,z_variance
2dm-2,"{'Ba': 2, 'Sb': 1}",9.44
2dm-7,"{'Tc': 1, 'Te': 2}",9.44
2dm-9,"{'Au': 1, 'Br': 1}",0.06
2dm-14,"{'Ti': 3, 'Se': 2}",11.08
2dm-18,"{'Au': 2, 'Se': 2}",1.95
2dm-20,"{'Al': 2, 'S': 5}",1.3
2dm-22,"{'Li': 6, 'O': 3}",0.56
2dm-26,"{'Al': 2, 'Sb': 6}",0.73
2dm-28,"{'Mo': 3, 'S': 4}",3.36
2dm-30,"{'Sb': 8, 'C': 4}",1.76
2dm-33,"{'B': 2, 'O': 3}",0
2dm-34,"{'Ga': 2, 'Sb': 6}",0.74
2dm-35,"{'Al': 1, 'I': 1}",1.27
2dm-38,"{'Nd': 4, 'Se': 10}",10.99
2dm-39,"{'Al': 2, 'F': 2}",1
2dm-40,"{'Y': 1, 'Si': 3}",0
2dm-42,"{'Ba': 2, 'As': 1}",1.44
2dm-6368,"{'Ga': 1, 'As': 1}",0
2dm-45,"{'Ti': 1, 'I': 2}",1.48
2dm-47,"{'Hf': 2, 'Pb': 4}",11.15
2dm-48,"{'B': 4, 'Br': 4}",9.78
2dm-53,"{'Ti': 2, 'Pb': 4}",11.19
2dm-54,"{'Al': 2, 'O': 3}",0.01
2dm-59,"{'Tl': 2, 'S': 2}",2.15
2dm-60,"{'Ni': 1, 'Sb': 2}",1.39
2dm-6369,"{'Ge': 1, 'Se': 1}",0.72
2dm-62,"{'Ag': 1, 'Cl': 1}",0
2dm-65,"{'Ag': 1, 'F': 1}",0
2dm-66,"{'Ge': 1, 'Br': 2}",1.34
2dm-67,"{'Nd': 2, 'Se': 6}",11.81
2dm-68,"{'Si': 1, 'Br': 2}",1.31
2dm-69,"{'In': 1, 'Br': 1}",1.26
2dm-73,"{'Ni': 1, 'P': 2}",1.34
2dm-75,"{'B': 2, 'N': 6}",0.27
2dm-77,"{'B': 1, 'I': 1}",1.08
2dm-6370,"{'Rh': 2, 'Pb': 8}",10.05
2dm-80,"{'Ca': 2, 'P': 1}",9.83
2dm-82,"{'Tl': 2, 'Ru': 1}",1.37
2dm-88,"{'Ti': 2, 'Zn': 2}",2.23
2dm-89,"{'P': 4, 'O': 8}",1.56
2dm-92,"{'Zr': 2, 'Br': 6}",1.42
2dm-95,"{'Te': 2, 'C': 2}",0.76
2dm-96,"{'Sc': 2, 'Pb': 1}",9.56
2dm-97,"{'Cu': 4, 'S': 2}",1.15
2dm-99,"{'Sm': 2, 'Se': 6}",11.79
2dm-101,"{'U': 2, 'S': 6}",11.84
2dm-105,"{'Ge': 2, 'Ru': 1}",9.65
2dm-106,"{'Tc': 6, 'I': 18}",2.3
2dm-112,"{'Be': 10, 'Co': 2}",10.9
2dm-116,"{'In': 1, 'I': 1}",1.37
2dm-117,"{'Si': 2, 'Se': 2}",0.86
2dm-118,"{'In': 2, 'O': 1}",1.29
2dm-119,"{'Sr': 10, 'Co': 2}",10.48
2dm-120,"{'Y': 1, 'Pb': 3}",0
2dm-123,"{'Sn': 6, 'H': 2}",11.71
2dm-124,"{'Ge': 2, 'H': 2}",10.74
2dm-125,"{'Tb': 2, 'Br': 6}",1.42
2dm-126,"{'Si': 1, 'Cl': 2}",1.21
2dm-130,"{'C': 4, 'N': 8}",2.11
2dm-131,"{'Mo': 2, 'F': 6}",0.91
2dm-136,"{'Ge': 4, 'O': 4}",10.45
